SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
206041124,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,4,9,0,12,3
206041125,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,6,0,10,4
206041126,3,0,0,0,4,0,0,0,4,0,0,4,9,5,0,0,18,0,0,0,22,13,0,36,13
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,0,13,0,3,3,18,9,0,23,8
206051129,0,0,0,0,3,0,0,0,3,0,0,3,11,30,3,0,40,0,0,0,42,22,0,64,12
206051130,3,0,0,0,3,0,0,0,3,0,0,5,8,13,0,0,23,3,4,5,29,40,0,67,8
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051132,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,18,0,3,3,19,36,3,56,6
206051133,8,3,0,0,10,0,0,0,10,0,0,10,11,5,3,0,21,4,0,4,24,18,0,45,22
206051134,0,3,0,0,4,0,0,0,4,0,0,4,11,21,3,0,33,0,0,5,36,13,0,53,11
206061135,3,0,0,0,3,0,0,0,3,0,0,3,10,13,0,0,23,0,0,0,23,3,0,30,13
206061136,3,0,0,0,3,0,0,0,3,0,0,3,9,12,3,0,26,0,4,5,31,21,0,55,16
206061137,0,0,0,0,3,0,0,0,3,0,0,3,11,10,0,0,25,3,0,3,25,36,0,60,14
206061138,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,15,0,0,0,13,15,0,27,9
206071139,3,0,0,0,3,0,0,0,3,0,0,3,4,6,0,0,15,0,0,0,13,4,0,20,10
206071140,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,0,17,0,0,3,22,15,0,33,8
206071141,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,16,5,0,6,23,77,8,107,3
206071142,0,0,0,0,3,0,0,0,3,3,0,11,3,3,0,3,11,0,8,11,19,77,0,96,8
206071143,0,0,0,0,0,0,0,0,0,0,0,3,9,12,3,0,22,0,0,0,26,24,0,51,6
206071144,3,0,0,0,5,0,0,3,8,0,0,5,11,14,0,0,23,0,4,4,24,120,7,149,12
206071145,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,12,0,0,0,10,13,0,20,3
207011146,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,20,0,25,0
207011147,0,0,0,0,0,0,0,0,0,4,0,4,6,21,4,0,33,0,0,4,36,32,0,67,12
207011148,3,0,0,0,4,0,0,0,4,0,0,3,10,8,0,0,15,3,0,4,19,23,0,48,12
207011149,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,36,0,4,4,39,22,0,60,15
207011150,3,3,0,0,6,0,0,0,6,3,0,7,11,11,0,0,20,0,0,0,20,5,0,27,12
207011151,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,16,0,3,4,16,18,0,35,3
207011152,0,0,0,0,0,0,0,0,0,0,0,0,12,11,3,0,23,0,0,0,23,11,0,34,12
207011153,0,0,0,0,0,0,0,0,3,0,0,0,8,16,0,0,29,3,0,3,31,15,0,47,10
207011154,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,10,0,13,0
207011155,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,14,0,0,0,14,4,0,21,9
207021156,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,16,0,0,0,16,20,0,33,3
207021157,0,0,0,0,0,0,0,0,0,0,0,4,11,9,3,0,24,0,0,0,27,40,0,65,8
207021159,3,0,0,0,3,6,0,6,11,0,0,8,10,7,0,0,22,0,0,0,27,11,0,40,19
207021160,0,0,0,0,4,0,0,0,3,6,0,8,4,12,3,3,19,0,0,0,19,17,0,36,5
207021424,0,0,0,0,0,0,0,0,0,0,0,0,11,12,3,0,23,4,0,3,23,15,0,40,12
207021425,3,0,0,0,3,0,0,0,3,0,0,4,13,12,0,0,27,0,0,0,28,31,0,58,18
207031161,0,0,0,0,0,0,0,0,0,0,0,3,15,21,0,0,34,0,0,0,31,28,0,60,11
207031162,0,3,0,0,3,0,0,0,3,0,0,4,4,3,0,0,6,0,0,0,7,21,0,35,4
207031163,0,0,0,0,0,3,0,3,3,3,3,8,9,13,0,0,22,3,0,4,27,20,0,49,11
207031164,3,0,0,0,3,3,0,3,7,4,0,5,10,14,4,0,26,0,3,3,25,26,0,57,8
207031165,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,11,0,0,0,11,18,0,30,5
207031166,0,0,0,0,0,0,0,0,0,3,0,6,4,3,3,0,10,0,3,3,10,15,0,29,4
207031167,3,0,0,0,3,0,0,0,3,0,0,3,0,4,0,0,9,0,0,0,5,3,0,16,3
208011168,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,3,3,14,3,0,12,3
208011169,8,0,0,0,13,0,0,0,13,3,0,11,13,12,0,0,27,0,0,0,29,22,0,55,19
208011170,0,0,3,0,9,0,0,0,9,0,0,9,6,14,3,0,25,0,0,0,28,13,0,42,9
208011171,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,13,0,0,0,13,26,0,40,10
208011172,3,0,0,0,3,0,0,0,3,0,0,6,3,13,0,0,16,3,3,3,19,28,4,58,5
208011173,3,0,0,0,3,0,0,0,3,0,0,5,4,7,0,0,13,0,0,0,13,20,0,38,8
208021174,3,0,0,0,3,0,0,0,3,3,0,11,12,18,3,0,37,0,0,0,35,20,0,62,18
208021176,3,0,0,0,3,0,0,0,3,0,0,9,3,14,3,0,20,0,0,0,20,12,0,32,8
208021177,7,3,0,0,6,0,0,0,6,0,0,11,8,20,6,0,33,0,0,0,33,26,0,52,9
208021178,8,3,0,0,10,0,0,0,10,0,0,10,3,9,4,0,17,0,3,3,23,18,0,34,5
208021179,4,0,0,0,4,0,0,0,4,0,0,4,5,7,0,0,17,0,0,0,17,11,0,24,11
208021180,0,0,0,0,4,0,0,0,4,0,0,4,3,10,0,0,8,0,0,3,12,8,0,23,7
208021181,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,9,3,0,14,6
208021182,4,0,0,0,7,0,0,0,8,0,0,5,12,14,0,0,22,0,0,0,22,8,0,31,17
208021426,6,3,0,0,8,0,0,0,8,3,0,6,6,16,0,0,26,0,3,3,24,24,0,55,12
208021427,4,0,0,0,3,0,0,0,3,0,0,3,16,15,5,0,34,0,0,0,34,20,0,54,18
208031183,0,0,0,0,3,0,0,0,3,0,0,3,10,6,0,0,15,0,0,0,18,6,0,22,11
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031185,3,3,0,0,6,0,0,0,6,0,0,7,8,15,3,0,27,0,3,3,26,36,3,74,6
208031186,0,0,0,0,3,0,0,0,3,6,0,5,6,23,0,0,27,0,3,3,32,42,0,72,11
208031187,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,6,16,0,20,3
208031188,3,4,0,0,3,0,0,0,5,0,0,5,24,14,0,0,44,0,0,0,42,36,0,79,25
208031189,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,0,38,0,0,0,38,20,0,56,10
208031190,0,0,0,0,0,0,0,0,0,0,0,3,9,13,0,0,23,0,3,3,25,12,0,37,12
208031191,8,0,0,0,8,0,0,0,8,0,0,12,3,9,0,0,8,0,0,3,12,13,0,21,10
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,6,0,0,0,10,0,0,0,10,0,0,10,10,18,6,0,26,0,3,3,29,36,0,70,16
208041194,8,0,0,0,8,0,0,0,8,0,0,8,14,14,4,0,30,0,0,0,30,21,0,48,18
208041195,5,0,0,0,5,0,0,0,5,0,0,5,0,18,0,0,19,0,0,4,18,9,0,36,5
209011196,0,3,0,0,3,0,0,0,3,0,0,3,4,11,3,5,19,0,0,0,22,20,0,46,4
209011197,4,0,0,0,5,0,0,0,5,0,0,6,11,26,3,0,35,0,0,0,36,48,0,84,13
209011198,3,0,0,0,3,0,0,0,3,0,0,3,10,13,0,0,17,0,0,0,24,26,0,43,16
209011199,0,0,0,0,3,0,0,0,3,5,0,7,13,22,3,3,35,0,9,9,42,95,0,140,15
209011200,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,14,3,0,3,16,5,0,21,3
209011201,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,11,0,0,0,11,3,0,10,4
209011202,0,0,0,0,3,0,0,0,3,0,0,3,3,16,0,0,22,0,3,3,28,24,0,51,8
209011203,3,0,0,0,5,0,0,0,5,3,0,11,11,20,0,0,32,0,0,3,33,25,3,62,8
209011204,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,13,0,0,0,16,21,0,37,8
209021205,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,17,0,0,0,16,18,0,32,5
209021207,8,0,0,0,4,0,0,0,4,9,0,13,17,38,4,0,63,3,3,5,63,139,5,210,21
209021208,3,0,0,0,9,0,0,0,9,4,3,19,21,27,0,0,52,3,5,10,56,69,0,125,26
209021428,7,4,0,0,10,0,0,0,10,11,0,14,9,18,6,0,31,0,0,3,35,55,0,94,13
209021429,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,25,0,4,4,32,19,0,49,8
209031209,3,0,0,0,3,0,0,0,3,0,0,3,10,17,0,0,34,0,0,0,32,18,0,52,15
209031210,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,3,0,9,5
209031211,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,3,0,0,0,3,10,0,12,0
209031212,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,7,5,0,16,3
209031213,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,20,3,24,3
209031214,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,11,3,0,11,4
209031215,10,0,0,0,6,0,0,0,6,4,0,9,7,11,0,0,26,0,3,3,28,15,0,36,13
209041216,3,0,0,0,3,0,0,0,3,0,0,3,3,9,0,0,6,0,0,0,6,7,0,13,3
209041217,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,9,0,0,0,6,22,0,28,0
209041219,7,0,0,0,9,0,4,4,9,7,0,19,15,22,4,4,44,5,9,9,54,112,3,173,23
209041220,6,0,0,0,5,0,0,0,5,0,0,6,10,22,0,0,36,0,0,0,36,57,0,97,17
209041221,3,0,3,0,3,0,0,0,5,3,0,7,3,11,7,0,28,7,5,12,32,41,0,73,7
209041223,3,0,0,0,5,0,0,0,3,0,0,7,11,30,3,0,43,9,3,12,55,116,3,172,12
209041224,7,0,0,0,7,0,0,0,6,4,0,12,21,27,3,3,53,7,4,9,62,97,0,158,26
209041225,4,0,0,0,4,0,0,0,4,0,0,4,4,11,0,0,12,0,0,0,12,34,0,46,7
209041430,6,7,0,0,10,0,0,0,16,3,0,17,20,47,3,7,76,3,8,14,89,129,5,222,23
209041431,0,0,0,0,0,0,0,0,3,0,0,4,10,11,0,0,25,0,3,6,30,67,3,99,14
209041432,0,0,0,0,3,0,0,0,3,0,0,4,11,13,0,3,21,3,6,9,30,50,0,76,13
209041433,5,0,0,0,5,0,0,0,8,0,0,9,17,26,3,0,50,4,4,4,56,43,0,97,20
209041434,6,0,0,0,6,0,0,0,6,9,0,10,25,50,12,3,91,4,3,8,98,140,0,236,30
209041435,0,0,0,0,0,0,0,0,3,7,0,5,9,16,0,0,25,0,0,0,20,43,0,66,13
209041436,3,0,0,0,4,4,0,4,6,0,0,6,9,18,0,0,25,0,3,3,28,43,4,73,10
209041437,4,0,0,0,4,0,0,0,4,0,0,4,10,14,3,0,26,4,3,5,34,52,0,90,16
210011226,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,9,0,0,0,9,17,0,31,4
210011227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,3,0,0,0,3,0,0,0,3,0,0,3,3,10,0,0,18,0,0,0,18,8,0,28,6
210011229,8,3,0,0,5,0,0,0,5,0,0,11,9,21,0,0,38,0,4,6,42,47,0,91,17
210011230,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,0,0,0,12,12,0,23,0
210011231,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,5,7,0,15,10
210021232,0,0,0,0,0,0,0,0,0,0,0,0,8,24,3,0,33,0,0,0,33,12,0,51,9
210021233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3
210021234,3,0,0,0,3,0,0,0,3,0,0,3,0,7,0,0,7,0,0,0,7,8,0,9,3
210021235,4,0,0,0,5,0,0,0,5,0,0,5,7,17,0,0,17,0,0,0,18,34,0,56,11
210031236,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,12,0,0,0,12,11,0,25,3
210031237,0,4,0,0,4,3,0,3,5,4,4,11,5,10,4,0,24,0,0,5,25,44,3,69,6
210031239,11,0,0,0,13,0,0,0,13,0,0,11,15,28,3,0,46,0,3,3,49,40,0,92,21
210031438,7,3,0,0,7,0,0,0,8,3,0,14,8,26,0,0,35,0,6,12,41,83,3,131,15
210031439,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,0,0,0,9,4,0,16,4
210031440,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,3,13,0,3,3,21,30,0,51,3
210041240,0,0,0,0,0,0,0,0,0,0,0,3,6,25,3,0,36,0,3,3,35,48,0,85,8
210041241,0,3,0,0,3,0,0,0,4,0,0,6,33,60,12,4,106,4,9,12,122,133,0,252,33
210051242,0,0,0,0,0,0,0,0,0,0,0,4,11,12,3,0,28,3,10,14,42,143,0,187,11
210051243,0,3,0,0,3,0,0,0,3,8,0,7,15,17,0,0,35,5,6,9,41,116,3,162,15
210051245,3,3,0,0,7,0,0,0,7,0,0,6,17,26,6,0,45,0,3,5,48,63,3,111,15
210051246,8,0,0,0,8,0,0,0,8,0,0,3,12,16,3,0,25,0,0,0,29,30,0,58,16
210051247,3,5,0,0,10,0,0,0,10,4,0,14,9,18,0,3,26,7,3,10,40,119,3,160,15
210051248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210051249,6,3,0,0,6,3,0,3,9,3,0,15,16,21,0,0,34,0,4,5,42,119,0,163,18
210051250,0,0,0,0,3,0,0,0,3,3,0,5,6,8,0,0,17,0,3,3,19,34,0,54,8
210051441,0,0,0,0,3,0,0,0,4,0,0,3,5,10,0,0,16,0,4,4,21,60,0,79,9
210051442,12,0,0,0,13,0,0,0,12,0,0,14,15,17,6,0,41,3,7,10,49,65,3,119,24
210051443,5,0,0,0,6,0,0,0,6,3,0,9,16,18,4,0,42,3,5,5,50,95,0,146,18
210051444,3,3,0,0,12,6,0,3,15,5,0,16,17,24,0,4,43,0,6,6,53,108,0,159,18
210051445,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,3,3,14,15,0,22,5
211011251,3,0,0,0,7,0,0,0,7,4,0,11,11,19,0,0,33,3,0,4,37,53,3,94,17
211011254,0,3,0,0,6,0,0,0,6,3,0,11,7,20,0,0,26,0,0,0,33,44,0,73,9
211011255,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,0,11,0,0,0,11,3,0,15,4
211011256,3,0,0,0,3,0,0,0,3,3,0,4,9,9,0,0,20,0,4,5,29,23,0,51,15
211011257,0,0,0,0,0,0,0,0,0,3,0,3,3,8,3,0,12,3,0,3,16,12,0,30,3
211011258,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,3,3,9,14,0,24,3
211011259,0,0,0,0,3,0,0,0,3,0,0,3,7,13,3,0,20,0,0,3,23,34,0,61,11
211011260,4,0,0,0,4,0,0,0,6,0,0,9,17,16,0,0,35,0,5,3,35,35,0,72,20
211011446,10,0,0,0,7,0,0,0,10,3,0,17,9,32,10,3,52,3,7,6,63,104,3,165,17
211011447,3,0,0,0,8,0,0,0,8,0,0,10,18,35,4,0,51,0,3,3,54,34,0,87,18
211011448,3,0,0,0,8,0,0,0,7,0,0,7,9,17,0,0,28,0,0,0,28,56,0,89,14
211011449,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,15,0,23,0
211021261,7,0,0,0,8,0,0,0,8,0,0,8,9,13,0,0,20,0,0,0,24,18,0,38,14
211021262,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,15,0,17,0
211031263,4,0,0,0,4,0,0,0,4,0,0,4,6,18,0,0,28,0,3,0,29,35,0,73,8
211031265,0,0,0,0,0,0,0,0,0,0,0,0,5,22,3,0,33,0,0,0,33,30,0,66,5
211031266,3,0,0,0,3,0,0,0,7,0,0,7,10,15,3,0,28,0,8,8,31,51,0,86,16
211031267,0,0,0,3,5,0,0,0,5,0,0,7,18,17,0,0,36,0,6,6,36,57,0,99,17
211031268,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,18,0,0,0,18,3,0,23,3
211031450,5,0,0,0,11,0,0,0,11,0,0,13,7,33,0,0,43,0,3,3,48,59,3,107,9
211031451,0,0,0,0,0,0,0,0,0,0,0,3,4,22,3,3,35,0,4,3,40,49,0,92,4
211031452,3,0,0,0,3,0,0,0,3,0,0,3,5,11,0,0,15,0,3,3,17,11,0,27,5
211041269,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,12,0,0,0,12,23,0,39,0
211041270,5,0,0,0,5,0,0,0,5,0,0,3,7,11,0,0,21,0,0,0,27,34,0,54,14
211041271,0,3,0,0,3,0,0,0,3,0,0,3,6,8,0,3,25,0,0,0,24,21,0,41,11
211041272,4,0,0,0,4,0,0,0,4,0,0,3,6,9,0,0,19,0,0,0,22,14,0,29,10
211041273,0,0,0,0,0,0,3,3,4,0,0,4,4,7,0,0,9,0,0,0,10,21,0,31,8
211051274,0,0,0,0,0,0,0,0,0,0,0,3,6,14,0,0,20,0,6,6,26,21,0,45,5
211051275,0,0,0,0,0,0,0,0,0,3,0,3,0,14,4,0,21,0,0,0,21,30,0,45,0
211051276,3,0,0,0,3,0,0,0,7,3,0,6,10,18,3,0,33,0,4,4,41,55,0,92,12
211051277,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,26,0,0,0,27,31,0,55,3
211051278,0,0,0,0,0,0,0,0,0,3,0,9,16,32,3,0,52,0,3,7,61,54,0,110,19
211051279,3,0,0,0,3,0,0,0,3,0,0,3,0,6,0,0,8,0,3,3,10,12,0,26,3
211051280,3,0,0,0,3,0,0,0,3,0,0,3,4,9,0,0,11,0,3,3,12,15,0,29,7
211051281,5,0,0,0,5,0,0,0,5,7,0,11,16,38,0,0,51,3,4,5,60,77,0,136,22
211051282,4,0,0,0,5,0,0,0,5,0,0,5,3,12,0,0,17,0,0,0,17,12,0,27,11
211051283,0,0,0,0,0,3,0,3,4,3,0,7,4,12,3,0,20,0,0,0,25,35,0,61,5
211051284,3,0,0,0,3,0,0,0,3,3,0,10,4,19,0,0,23,0,3,3,26,22,0,45,9
211051285,0,0,0,0,0,0,0,0,3,0,0,3,0,14,0,0,15,0,0,0,15,11,0,23,0
211051286,0,0,3,0,4,0,0,0,4,3,0,7,3,44,5,0,59,0,6,5,66,72,0,138,12
212011287,4,0,0,0,4,0,0,0,4,0,0,3,15,26,3,0,39,0,3,8,51,44,0,89,13
212011288,3,0,0,0,3,0,0,0,3,0,0,3,5,5,0,0,9,0,3,3,11,21,0,34,8
212011289,7,3,0,0,8,0,0,0,8,0,0,9,5,28,3,0,41,0,3,6,41,49,0,91,9
212011290,5,0,0,0,5,0,0,0,5,0,0,5,4,15,0,0,16,0,3,3,23,35,0,57,4
212011291,9,0,0,0,14,0,0,0,13,3,0,15,30,59,4,0,96,5,21,28,125,193,0,321,41
212011292,21,5,0,4,30,0,0,0,30,3,0,35,21,79,8,8,121,7,10,18,135,236,3,376,44
212021293,4,0,0,0,4,0,0,0,4,0,0,3,14,34,3,0,52,3,0,3,54,46,0,100,19
212021294,6,0,0,3,14,0,0,0,12,3,0,14,23,35,3,0,61,4,6,10,76,100,0,173,31
212021295,3,0,0,0,3,0,0,0,3,0,0,3,9,16,0,0,27,3,10,10,34,110,5,153,9
212021297,3,0,0,0,4,0,0,0,4,0,0,10,9,13,0,0,22,6,0,9,32,51,0,83,13
212021299,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,8,0,10,3
212021453,3,3,0,0,4,0,0,0,4,3,0,5,16,12,0,0,28,8,7,11,36,41,0,74,18
212021454,0,0,0,0,3,0,0,0,3,5,0,3,12,16,0,0,23,3,3,3,26,50,0,80,13
212021455,0,0,0,4,4,0,0,0,4,3,0,9,9,20,0,0,29,0,5,7,35,59,0,96,7
212021456,0,0,0,0,4,0,0,0,4,5,0,4,11,25,0,0,37,0,9,9,47,93,0,136,7
212031300,15,0,0,0,15,0,0,0,15,6,0,22,20,32,8,9,68,5,8,15,82,171,0,254,34
212031301,13,4,0,0,19,4,0,4,17,3,0,26,21,62,8,3,91,12,20,30,122,107,4,227,34
212031302,8,0,0,0,15,0,0,0,15,6,0,20,14,32,8,0,58,3,17,23,80,119,3,206,28
212031303,3,0,0,0,3,3,0,3,6,0,0,6,4,14,0,0,18,0,3,3,23,30,0,53,8
212031304,4,0,0,0,3,0,0,0,3,4,0,15,16,38,6,3,66,3,6,11,76,80,4,157,22
212031305,5,0,0,0,7,0,0,0,7,4,0,16,28,43,8,0,72,4,10,19,93,139,3,229,28
212031306,6,0,0,0,7,0,0,0,8,0,0,8,7,13,0,0,22,5,0,4,29,37,0,59,16
212031308,3,0,0,0,3,0,0,0,3,0,0,5,5,11,3,0,18,0,5,7,22,19,0,42,7
212031457,3,0,0,0,3,0,0,0,3,0,0,3,3,9,3,0,16,0,3,3,21,43,0,57,4
212031458,3,0,0,0,3,0,0,0,3,0,0,7,10,29,3,0,46,9,3,15,57,80,0,137,11
212041309,0,0,0,0,3,0,0,0,3,0,0,3,4,6,3,0,14,0,0,0,18,26,0,38,7
212041310,3,0,0,0,3,0,0,0,3,0,0,3,3,11,0,0,14,0,0,0,12,32,0,48,3
212041311,19,3,0,0,18,0,0,3,22,4,0,26,20,29,4,0,48,10,11,15,66,172,0,239,37
212041312,10,0,0,0,12,0,0,0,12,7,0,20,19,21,7,3,48,4,6,9,56,98,0,160,24
212041313,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,21,0,0,0,22,12,0,34,10
212041314,5,3,0,0,10,0,0,0,12,6,0,13,19,34,3,0,54,12,3,17,73,85,4,158,27
212041316,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,10,0,0,3,17,35,0,50,8
212041317,8,3,0,0,16,3,0,3,18,0,0,21,19,24,3,5,50,0,6,5,59,118,0,173,33
212041318,14,0,0,0,11,0,0,0,11,3,0,16,10,16,3,0,34,3,3,3,40,79,4,126,26
212041459,3,0,0,0,3,0,0,0,3,3,0,7,18,17,0,3,32,3,3,8,41,72,0,112,22
212041460,7,0,0,0,3,0,0,3,12,7,3,18,26,17,3,3,47,10,8,17,63,141,0,205,27
212051319,0,0,0,0,4,0,0,0,3,0,0,4,12,27,3,0,41,0,4,4,43,51,0,88,15
212051320,0,0,0,0,3,0,0,0,4,3,0,5,11,3,5,0,15,3,3,5,23,32,0,55,10
212051321,5,0,0,6,8,0,0,0,8,0,0,8,4,15,0,0,22,0,3,3,23,28,0,52,12
212051322,8,0,0,0,8,0,0,0,8,3,0,10,15,10,7,0,29,0,0,3,30,26,0,60,15
212051323,3,0,0,0,3,0,0,0,3,0,0,3,15,3,0,0,18,0,0,0,17,19,0,33,18
212051324,3,0,0,0,3,0,0,0,0,0,0,3,7,12,0,0,20,0,5,10,30,18,0,48,9
212051325,5,0,0,0,5,0,0,0,11,3,0,13,8,13,0,0,24,0,5,3,32,54,0,80,17
212051326,7,0,0,0,5,0,0,0,5,0,0,10,5,10,6,0,23,3,5,5,27,36,0,62,11
212051327,0,0,0,0,3,0,0,0,3,7,0,9,14,14,7,0,36,0,3,3,39,22,0,55,17
213011328,3,0,0,0,6,0,0,0,6,3,0,6,5,10,3,0,21,5,0,9,30,43,0,74,9
213011329,8,0,0,0,8,0,0,0,8,3,0,11,13,19,4,0,36,0,0,3,42,47,3,89,23
213011330,15,3,0,3,18,0,3,3,21,14,0,32,30,40,0,7,77,3,9,10,84,187,4,278,46
213011331,3,3,0,0,3,0,0,0,3,4,0,9,0,7,0,0,5,7,11,11,22,45,0,67,3
213011332,4,0,0,0,10,0,0,0,11,4,0,12,7,13,4,3,23,5,3,12,36,77,0,112,12
213011333,4,3,0,0,8,0,0,0,8,13,0,24,21,22,3,3,46,3,5,10,57,106,3,164,23
213011334,11,0,0,0,11,3,6,10,15,8,0,23,16,20,3,0,42,15,11,24,72,186,8,260,30
213011335,7,4,0,3,12,0,0,0,12,5,0,22,12,13,3,4,34,3,8,12,45,125,3,176,16
213011336,0,0,0,0,4,0,0,0,4,4,3,12,6,12,4,0,19,0,0,3,25,51,0,73,7
213011337,5,3,0,0,14,4,0,4,15,4,4,24,13,17,0,3,35,0,3,5,40,74,7,119,22
213011338,6,4,0,0,6,3,0,3,9,4,0,11,26,20,3,0,54,5,13,18,71,137,6,208,29
213011339,0,0,0,0,4,0,0,0,5,0,0,5,15,14,0,3,30,4,0,7,39,35,0,71,11
213011340,0,0,0,0,0,0,0,0,0,0,0,7,9,9,5,0,19,0,3,3,22,36,0,58,7
213021341,0,0,0,0,0,0,0,0,0,3,0,3,9,14,0,0,28,3,0,3,30,27,0,59,12
213021342,0,0,0,3,4,0,0,0,5,3,0,8,18,27,0,0,49,0,4,5,53,81,0,135,21
213021343,3,3,0,0,6,0,0,0,8,0,0,11,8,11,0,0,24,0,3,3,26,52,0,76,14
213021344,3,0,0,0,3,0,0,0,3,0,0,3,26,23,0,0,50,0,0,0,54,23,3,74,26
213021345,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,0,0,0,9,26,0,35,5
213021346,8,0,0,0,8,0,0,0,8,0,0,8,6,7,0,0,20,3,3,4,21,34,0,63,17
213031347,4,0,0,0,8,5,3,6,11,7,0,19,13,22,4,0,44,7,5,13,51,111,0,167,17
213031348,0,0,0,0,0,0,0,0,3,0,0,4,12,8,0,0,20,0,5,10,25,52,3,76,13
213031349,5,0,0,0,5,0,0,0,5,0,0,5,13,13,0,0,20,3,0,4,26,24,0,46,16
