,SA2_MAINCODE_2016,SA2_name,Index of Relative Socio-economic Disadvantage: Score,Male_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Full_Time,Male_Lone_Parent_Total_Employed,Female_Lone_Parent_Total_Employed,Total_Lone_Parents_Total_Employed,Male_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Unemployed,Total_Lone_Parents_Total_Unemployed,Male_Lone_Parent_Total,Female_Lone_Parent_Total,Total_Lone_Parents_Total,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Full_time_Male_parent_Unemployed_looking_for_Total,Female_parent_Employed_worked_Full_time_Male_parent_Not_in_the_labour_force,Female_parent_Employed_worked_Full_time_Total,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Total,Female_parent_Employed_worked_Part_time_Total,Female_parent_Employed_away_from_work_Male_parent_Employed_Total,Female_parent_Total_Employed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Unemployed_Looking_For_Total,Female_parent_Not_in_the_labour_force_Male_parent_Employed_Total,Female_parent_Not_in_the_labour_force_Male_parent_Not_in_the_labour_force,Female_parent_Total_Total,code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
10,201021011,Daylesford,1007,0,3,3,0,22,23,0,0,0,0,53,52,9,7,3,3,23,83,24,106,117,28,156,5,0,99,6,285,21011,Daylesford,59,39,14,6,0.1
11,201021012,Gordon (Vic.),1023,0,0,0,0,7,7,0,0,0,0,30,36,18,6,0,0,23,71,8,81,88,12,119,3,0,80,10,223,21012,Gordon (Vic.),60,48,6,6,0.1
12,201031013,Avoca,931,0,0,0,0,0,0,0,0,0,0,8,8,11,3,0,0,12,32,0,36,36,9,58,0,0,41,6,115,21013,Avoca,32,28,2,2,0.06
13,201031014,Beaufort,969,0,5,7,0,14,15,0,3,3,4,31,33,13,0,0,0,13,64,7,69,68,14,100,3,0,49,0,155,21014,Beaufort,43,39,3,1,0.02
14,201031015,Golden Plains - North,993,0,0,0,0,7,7,0,0,0,0,23,25,12,0,0,0,13,78,9,87,89,14,116,10,0,71,3,198,21015,Golden Plains - North,54,36,10,8,0.15
15,201031016,Maryborough (Vic.),873,0,0,0,0,16,16,0,9,9,3,108,114,18,7,0,0,25,70,7,78,83,18,121,4,0,70,13,226,21016,Maryborough (Vic.),85,56,13,16,0.19
16,201031017,Maryborough Region,914,0,0,0,0,7,8,0,5,5,7,34,42,8,0,0,0,14,35,7,40,42,10,67,3,0,59,7,146,21017,Maryborough Region,43,31,4,8,0.19
17,202011018,Bendigo,919,4,7,10,6,41,50,0,15,21,15,184,201,31,19,0,0,49,123,29,152,163,43,247,12,0,174,29,509,21018,Bendigo,170,120,32,18,0.11
18,202011019,California Gully - Eaglehawk,899,4,13,16,4,50,51,4,17,20,7,207,218,47,6,4,3,63,145,34,182,197,38,280,10,4,171,34,542,21019,California Gully - Eaglehawk,194,111,44,39,0.2
19,202011020,East Bendigo - Kennington,996,0,3,8,5,29,33,0,7,5,7,116,125,49,7,4,0,55,181,26,210,211,49,311,13,0,132,21,497,21020,East Bendigo - Kennington,151,125,15,11,0.07
20,202011021,Flora Hill - Spring Gully,991,0,3,7,0,21,22,0,0,0,3,85,88,38,10,0,3,50,134,12,150,151,32,233,10,0,107,9,366,21021,Flora Hill - Spring Gully,91,72,10,9,0.1
21,202011022,Kangaroo Flat - Golden Square,949,4,13,12,5,59,72,3,5,7,20,219,241,65,11,6,6,90,268,39,310,317,69,456,21,3,309,31,859,21022,Kangaroo Flat - Golden Square,237,168,43,26,0.11
22,202011023,Maiden Gully,1074,0,0,3,0,6,11,0,0,0,3,20,27,31,0,0,0,35,157,10,168,169,53,253,11,0,100,0,375,21023,Maiden Gully,97,79,13,5,0.05
23,202011024,Strathfieldsaye,1085,0,4,4,0,20,20,0,0,0,0,45,45,51,10,3,0,67,235,11,251,253,67,383,5,0,126,6,529,21024,Strathfieldsaye,155,130,16,9,0.06
24,202011025,White Hills - Ascot,1007,5,14,15,5,81,92,0,11,13,11,150,164,77,6,3,4,91,292,22,321,330,109,521,10,0,207,22,781,21025,White Hills - Ascot,203,165,23,15,0.07
25,202021026,Bendigo Region - South,1063,0,0,0,0,16,16,0,3,3,0,36,36,42,3,0,5,54,148,13,168,174,36,259,8,0,92,4,368,21026,Bendigo Region - South,100,81,15,4,0.04
26,202021027,Castlemaine,984,0,0,3,3,18,16,0,0,0,4,72,73,17,3,0,4,28,105,34,141,148,29,198,5,0,131,10,365,21027,Castlemaine,90,52,18,20,0.22
27,202021028,Castlemaine Region,1008,0,0,0,0,6,6,0,0,0,3,22,26,16,4,0,0,30,79,18,104,111,14,150,9,0,93,6,272,21028,Castlemaine Region,63,52,8,3,0.05
28,202021029,Heathcote,944,0,0,0,0,0,0,0,0,0,0,32,29,20,0,0,0,26,34,8,44,46,6,79,0,0,50,0,137,21029,Heathcote,53,31,14,8,0.15
29,202021030,Kyneton,1017,3,3,3,3,22,29,0,0,3,8,47,54,28,6,0,13,52,154,32,186,198,40,272,9,0,132,10,439,21030,Kyneton,107,85,16,6,0.06
30,202021031,Woodend,1071,0,3,7,0,12,11,0,0,0,0,25,32,16,5,0,3,28,124,21,144,149,32,204,4,0,102,3,322,21031,Woodend,97,79,13,5,0.05
31,202031032,Bendigo Region - North,994,0,0,0,3,9,12,0,0,0,3,37,40,19,4,0,0,23,70,3,74,74,22,122,0,0,46,9,185,21032,Bendigo Region - North,51,44,4,3,0.06
32,202031033,Loddon,941,0,0,0,0,3,3,0,0,0,0,40,40,32,3,0,0,38,62,5,70,72,17,128,0,0,78,19,241,21033,Loddon,63,47,10,6,0.1
33,203011034,Bannockburn,1061,7,0,8,7,5,11,0,0,0,7,24,31,34,4,0,0,42,162,18,187,190,57,282,3,0,163,3,460,21034,Bannockburn,117,104,10,3,0.03
34,203011035,Golden Plains - South,1030,0,4,4,0,9,9,0,3,3,0,31,29,26,3,0,4,34,130,8,139,146,41,217,7,0,117,5,352,21035,Golden Plains - South,82,65,12,5,0.06
35,203011036,Winchelsea,1039,0,0,0,0,5,5,0,0,0,0,27,27,22,5,0,0,28,87,4,87,87,19,137,6,0,88,3,237,21036,Winchelsea,53,41,9,3,0.06
36,203021037,Belmont,998,0,7,12,0,32,37,0,7,7,12,73,83,51,3,3,3,73,254,28,290,296,90,450,12,0,189,25,699,21037,Belmont,137,120,10,7,0.05
37,203021038,Corio - Norlane,815,6,18,23,7,106,113,0,31,32,27,537,561,64,3,0,5,77,168,22,191,221,47,312,30,4,348,110,902,21038,Corio - Norlane,289,184,52,53,0.18
38,203021039,Geelong,1003,3,10,12,5,34,37,0,3,3,4,93,97,43,13,3,7,68,187,27,215,222,43,321,14,0,144,21,532,21039,Geelong,136,102,21,13,0.1
39,203021040,Geelong West - Hamlyn Heights,1009,5,6,11,5,48,51,0,3,3,8,112,123,88,12,5,7,120,381,42,425,436,131,671,29,0,291,22,1059,21040,Geelong West - Hamlyn Heights,243,179,43,21,0.09
40,203021041,Grovedale,1030,9,11,20,8,75,89,0,4,4,11,156,170,131,21,5,14,175,460,45,505,520,98,765,30,0,377,21,1252,21041,Grovedale,296,247,36,13,0.04
41,203021042,Highton,1077,3,13,15,7,39,41,0,4,4,7,80,84,124,18,3,9,159,440,32,474,487,120,754,31,3,282,23,1132,21042,Highton,228,189,24,15,0.07
42,203021043,Lara,1027,5,10,14,8,59,72,0,0,0,14,130,138,108,11,3,5,131,327,14,359,372,89,575,15,0,298,11,939,21043,Lara,231,192,23,16,0.07
43,203021044,Leopold,1019,0,10,7,3,57,60,3,11,13,4,112,123,74,10,0,4,89,289,25,323,331,80,498,19,3,214,19,770,21044,Leopold,172,131,26,15,0.09
44,203021045,Newcomb - Moolap,913,9,9,15,10,46,61,0,6,6,16,175,188,35,3,0,0,43,132,11,156,160,48,243,20,0,147,35,470,21045,Newcomb - Moolap,147,86,32,29,0.2
45,203021046,Newtown (Vic.),1070,3,9,10,4,15,16,0,0,0,4,31,36,45,19,0,3,73,193,14,207,211,52,330,10,0,117,6,479,21046,Newtown (Vic.),124,106,12,6,0.05
46,203021047,North Geelong - Bell Park,954,6,10,16,5,44,54,0,16,13,12,130,148,56,8,0,6,78,191,36,240,243,63,377,17,0,191,18,628,21047,North Geelong - Bell Park,158,120,24,14,0.09
47,203031048,Clifton Springs,1009,3,11,14,3,34,42,0,0,0,6,113,120,28,8,0,3,37,190,18,212,224,42,293,10,0,165,7,504,21048,Clifton Springs,159,132,17,10,0.06
48,203031049,Lorne - Anglesea,1066,3,3,4,0,8,10,0,0,0,6,7,16,11,3,0,0,14,48,7,63,64,8,90,6,0,58,0,160,21049,Lorne - Anglesea,47,33,8,6,0.13
49,203031050,Ocean Grove - Barwon Heads,1071,3,10,15,5,57,60,0,10,10,3,127,136,105,14,5,9,134,550,51,611,622,143,895,14,0,391,16,1358,21050,Ocean Grove - Barwon Heads,357,254,62,41,0.11
50,203031051,Portarlington,964,4,4,5,3,15,19,0,0,0,9,41,51,3,0,0,3,12,53,7,57,68,16,84,0,0,73,7,190,21051,Portarlington,62,43,9,10,0.16
51,203031052,Point Lonsdale - Queenscliff,1072,0,0,0,0,3,3,0,0,0,0,4,4,11,3,0,3,17,37,9,42,44,10,59,0,0,31,4,112,21052,Point Lonsdale - Queenscliff,19,15,3,1,0.05
52,203031053,Torquay,1092,0,9,9,8,41,44,0,0,0,8,55,61,95,16,4,7,126,444,45,498,519,115,735,21,0,340,11,1150,21053,Torquay,321,274,33,14,0.04
53,204011054,Alexandra,981,3,0,3,3,4,10,0,0,0,4,21,19,15,0,0,0,16,75,11,88,95,22,124,3,0,50,13,197,21054,Alexandra,45,36,7,2,0.04
54,204011055,Euroa,965,0,0,6,6,21,20,0,4,4,5,54,54,25,3,0,0,29,63,8,67,67,14,114,6,3,48,4,173,21055,Euroa,49,36,10,3,0.06
55,204011056,Kilmore - Broadford,995,7,6,13,8,36,43,0,3,7,14,112,129,58,7,0,13,86,161,30,215,215,62,348,13,0,244,21,649,21056,Kilmore - Broadford,173,126,35,12,0.07
56,204011057,Mansfield (Vic.),1015,0,4,10,6,12,20,0,0,0,3,33,37,21,6,6,3,35,130,32,167,173,19,222,3,0,90,10,343,21057,Mansfield (Vic.),82,71,8,3,0.04
57,204011058,Nagambie,988,0,0,0,0,3,6,0,0,0,3,18,24,19,0,0,6,21,59,4,64,70,8,92,0,0,44,4,151,21058,Nagambie,35,21,11,3,0.09
58,204011059,Seymour,897,0,8,8,0,13,13,0,9,9,0,91,91,14,0,0,0,16,48,11,58,64,7,84,0,0,76,11,181,21059,Seymour,78,59,10,9,0.12
59,204011062,Yea,984,0,0,0,0,3,3,0,0,0,0,9,9,15,0,0,0,15,39,0,40,46,7,71,3,0,34,4,120,21062,Yea,34,28,2,4,0.12
60,204021063,Benalla,928,3,4,6,3,33,34,0,8,8,3,131,134,26,9,3,4,36,92,7,103,112,23,165,9,0,94,9,304,21063,Benalla,90,63,15,12,0.13
61,204021064,Benalla Region,1016,0,0,0,0,3,3,0,0,0,3,16,22,8,5,0,0,19,51,4,51,51,16,82,0,0,41,8,134,21064,Benalla Region,29,21,6,2,0.07
62,204021065,Rutherglen,974,3,0,0,3,6,8,0,0,0,3,15,24,13,8,0,0,15,49,5,58,58,20,91,0,0,44,4,142,21065,Rutherglen,37,27,5,5,0.14
63,204021066,Wangaratta,958,3,7,12,8,53,63,3,9,14,18,181,196,75,8,0,7,90,260,34,301,306,69,467,17,0,206,32,751,21066,Wangaratta,220,185,27,8,0.04
64,204021067,Wangaratta Region,1031,0,0,0,3,12,18,0,0,0,3,39,40,41,3,0,3,56,162,8,178,181,38,265,6,0,95,10,391,21067,Wangaratta Region,104,85,13,6,0.06
65,204031068,Beechworth,1023,0,5,7,0,19,20,0,6,6,3,35,36,14,3,0,4,19,54,11,73,78,16,107,0,0,30,0,146,21068,Beechworth,64,42,14,8,0.12
66,204031069,Bright - Mount Beauty,1012,4,3,10,6,20,22,0,0,0,9,29,35,27,3,0,0,38,88,16,100,106,9,157,0,6,81,3,257,21069,Bright - Mount Beauty,84,61,13,10,0.12
67,204031070,Chiltern - Indigo Valley,1007,0,0,0,0,8,8,0,0,0,0,16,22,14,0,0,0,12,38,7,49,56,12,80,5,0,33,4,126,21070,Chiltern - Indigo Valley,31,26,1,4,0.13
68,204031071,Myrtleford,960,0,3,3,0,10,10,0,0,0,0,35,35,9,4,0,4,19,48,10,56,59,7,83,0,0,49,3,145,21071,Myrtleford,45,33,8,4,0.09
69,204031072,Towong,992,0,0,0,0,3,6,0,0,0,0,22,27,10,5,0,6,19,58,0,61,61,31,111,3,0,73,3,208,21072,Towong,58,38,13,7,0.12
70,204031073,West Wodonga,975,8,13,15,7,68,78,0,14,14,9,199,207,87,10,0,7,109,253,20,276,292,92,469,16,3,240,12,767,21073,West Wodonga,220,160,37,23,0.1
71,204031074,Wodonga,978,9,23,25,12,82,94,6,26,32,24,270,294,123,14,0,12,155,420,44,483,502,121,764,31,4,377,30,1259,21074,Wodonga,367,275,62,30,0.08
72,204031075,Yackandandah,1051,0,4,3,0,5,10,0,0,0,0,17,22,18,8,0,3,30,75,3,81,80,23,128,3,0,49,3,192,21075,Yackandandah,63,48,9,6,0.1
73,205011076,Drouin,981,5,5,11,11,45,47,0,5,4,10,136,150,55,4,3,5,72,298,24,334,340,85,487,18,0,293,20,855,21076,Drouin,185,147,20,18,0.1
74,205011077,Mount Baw Baw Region,1016,0,3,3,0,8,11,0,0,0,5,29,33,15,3,0,3,29,58,4,68,68,21,113,0,0,67,3,202,21077,Mount Baw Baw Region,58,34,13,11,0.19
75,205011078,Trafalgar (Vic.),1005,3,3,12,5,32,37,0,0,0,5,64,73,24,7,0,5,39,129,19,158,157,28,221,8,0,104,7,351,21078,Trafalgar (Vic.),108,92,10,6,0.06
76,205011079,Warragul,1001,3,9,10,3,34,39,0,10,10,7,144,153,51,6,3,5,71,274,32,311,316,81,452,16,0,282,25,805,21079,Warragul,205,151,38,16,0.08
77,205021081,Bairnsdale,953,0,4,7,4,34,41,0,8,14,12,160,173,40,10,0,7,61,184,24,212,222,57,328,7,0,201,21,589,21081,Bairnsdale,164,114,29,21,0.13
78,205021084,Lakes Entrance,951,3,5,3,3,19,24,0,0,3,4,64,69,16,5,4,5,28,94,23,123,137,32,177,3,3,93,10,313,21084,Lakes Entrance,116,89,15,12,0.1
79,205021085,Orbost,920,0,3,3,0,16,16,0,0,0,0,39,41,9,0,0,3,14,57,9,65,65,11,87,3,0,66,12,183,21085,Orbost,56,44,8,4,0.07
80,205021086,Paynesville,987,0,0,3,0,11,15,0,0,0,0,38,43,5,4,0,0,16,55,6,60,63,11,84,0,0,69,5,163,21086,Paynesville,47,36,7,4,0.09
81,205031089,Korumburra,978,0,0,0,0,10,9,0,10,10,3,67,67,45,0,0,0,47,134,20,152,160,26,233,12,0,99,8,366,21089,Korumburra,133,93,19,21,0.16
82,205031090,Leongatha,1001,3,6,10,3,27,27,3,0,4,3,74,79,39,10,3,0,47,179,20,206,218,29,288,3,0,187,8,497,21090,Leongatha,136,102,16,18,0.13
83,205031093,Wonthaggi - Inverloch,958,12,8,15,13,61,71,3,8,8,27,193,218,49,20,0,8,80,270,40,314,322,57,443,8,3,258,38,814,21093,Wonthaggi - Inverloch,242,179,44,19,0.08
84,205041094,Churchill,983,6,7,11,5,27,35,0,6,6,15,112,123,34,5,0,3,40,144,12,159,173,41,249,9,3,132,20,454,21094,Churchill,157,117,23,17,0.11
85,205041095,Moe - Newborough,883,4,5,10,8,50,61,5,11,19,21,226,244,24,3,0,0,37,178,25,210,230,53,296,12,3,163,35,551,21095,Moe - Newborough,196,122,46,28,0.14
86,205041096,Morwell,829,5,11,14,5,42,44,3,13,24,23,257,282,38,3,0,7,50,91,18,117,133,29,196,4,3,132,52,437,21096,Morwell,168,87,22,59,0.35
87,205041097,Traralgon,981,18,12,31,17,73,98,0,20,20,21,268,292,104,13,3,10,137,454,33,488,511,121,749,22,5,328,47,1216,21097,Traralgon,324,235,51,38,0.12
88,205041098,Yallourn North - Glengarry,995,0,0,0,0,14,14,0,3,3,0,43,42,15,0,0,0,13,83,9,89,89,12,114,3,3,75,3,206,21098,Yallourn North - Glengarry,63,47,8,8,0.13
89,205051101,Maffra,982,5,10,11,6,42,46,0,10,10,6,124,131,39,6,3,9,51,183,23,212,227,53,318,10,0,210,24,589,21101,Maffra,194,141,32,21,0.11
90,205051102,Rosedale,1002,0,0,0,0,9,9,0,0,0,3,26,22,30,3,0,0,36,70,3,80,80,18,125,0,3,54,5,196,21102,Rosedale,52,43,4,5,0.1
91,205051104,Yarram,941,0,0,3,0,11,14,0,0,0,0,46,47,14,3,0,5,19,60,7,63,69,13,94,0,0,42,3,153,21104,Yarram,48,37,7,4,0.08
92,206011105,Brunswick,1053,0,9,11,0,36,37,0,4,4,8,71,73,101,27,3,14,155,315,51,369,384,126,630,17,3,220,25,933,21105,Brunswick,162,132,21,9,0.06
93,206011106,Brunswick East,1066,0,5,5,0,18,22,0,0,0,0,27,34,55,5,4,4,69,121,21,146,148,38,244,5,0,97,7,374,21106,Brunswick East,47,42,2,3,0.06
94,206011107,Brunswick West,1032,3,10,9,3,27,27,0,7,7,3,60,56,53,8,4,5,77,209,30,239,248,64,376,16,0,162,33,619,21107,Brunswick West,114,83,17,14,0.12
95,206011108,Coburg,1024,0,12,12,0,36,39,0,6,3,3,83,90,141,34,6,10,189,473,63,549,568,150,888,35,3,382,44,1417,21108,Coburg,299,253,29,17,0.06
96,206011109,Pascoe Vale South,1058,3,3,6,3,8,13,0,3,3,3,28,29,78,4,0,11,96,182,16,207,216,62,359,4,0,170,11,561,21109,Pascoe Vale South,123,98,12,13,0.11
97,206021110,Alphington - Fairfield,1073,3,7,10,3,20,16,0,0,0,3,30,34,46,14,0,7,66,146,16,158,168,36,258,8,0,112,3,395,21110,Alphington - Fairfield,103,87,11,5,0.05
98,206021111,Northcote,1064,3,10,13,3,45,47,0,4,4,3,66,69,165,33,0,11,212,391,94,491,500,114,802,29,3,259,25,1157,21111,Northcote,270,232,23,15,0.06
99,206021112,Thornbury,1038,4,14,16,10,38,47,0,0,0,9,79,86,99,16,3,3,127,330,47,383,392,114,613,20,0,224,13,914,21112,Thornbury,183,154,23,6,0.03
100,206031113,Ascot Vale,1003,3,8,9,4,30,32,0,11,11,3,117,121,126,20,4,8,156,250,24,282,282,111,536,16,0,198,31,826,21113,Ascot Vale,182,149,20,13,0.07
101,206031114,Essendon - Aberfeldie,1078,4,14,12,8,36,39,0,5,4,4,73,82,164,16,4,7,193,365,29,402,416,135,723,27,5,310,6,1130,21114,Essendon - Aberfeldie,290,233,43,14,0.05
102,206031115,Flemington,904,0,3,9,4,25,31,0,5,5,7,99,111,37,12,0,8,53,101,19,118,127,39,212,14,9,109,36,435,21115,Flemington,92,65,16,11,0.12
103,206031116,Moonee Ponds,1069,0,3,3,0,10,13,0,3,3,3,28,32,93,7,0,14,114,219,27,246,256,88,434,19,0,190,6,683,21116,Moonee Ponds,165,135,23,7,0.04
104,206041117,Carlton,928,0,7,7,0,18,18,0,4,4,3,80,84,39,3,0,3,45,48,8,57,59,12,114,11,0,92,42,294,21117,Carlton,74,55,10,9,0.12
105,206041118,Docklands,1060,0,14,14,0,22,22,0,0,0,0,27,27,79,9,3,0,95,50,5,58,60,31,179,26,3,189,29,435,21118,Docklands,61,44,12,5,0.08
106,206041123,North Melbourne,989,7,12,16,8,26,30,0,3,3,10,111,117,61,11,6,4,84,111,27,144,154,52,277,17,0,152,31,529,21123,North Melbourne,133,105,15,13,0.1
107,206041124,Parkville,1058,0,0,3,3,3,6,0,0,0,3,12,16,26,3,0,0,32,47,4,49,50,7,87,6,3,35,7,147,21124,Parkville,33,28,4,1,0.03
108,206041125,South Yarra - West,1112,0,3,4,4,3,9,0,0,0,4,10,15,26,0,3,3,30,43,3,49,53,5,89,6,0,36,4,145,21125,South Yarra - West,27,26,1,0,0.0
109,206041126,Southbank,1067,3,9,13,4,18,25,0,0,3,4,36,41,66,8,3,0,73,67,6,77,81,48,196,16,4,168,27,440,21126,Southbank,46,35,9,2,0.04
110,206051128,Albert Park,1095,0,6,8,0,13,15,0,3,3,4,23,25,113,12,3,7,141,162,13,181,181,66,382,13,3,196,11,624,21128,Albert Park,161,136,20,5,0.03
111,206051129,Elwood,1092,0,11,12,3,40,49,0,0,0,3,64,72,108,11,3,11,131,211,8,217,229,79,424,15,4,165,9,643,21129,Elwood,136,108,21,7,0.05
112,206051132,South Melbourne,1030,0,6,6,0,18,18,0,3,3,0,56,56,74,11,4,5,96,131,11,140,151,57,287,7,0,107,14,438,21132,South Melbourne,79,61,12,6,0.08
113,206051133,St Kilda,1058,8,11,22,10,21,34,0,4,4,10,45,49,101,12,3,9,122,171,31,206,209,77,404,11,3,170,11,624,21133,St Kilda,111,98,7,6,0.05
114,206051134,St Kilda East,1066,0,11,11,4,33,37,0,5,5,4,53,55,86,9,3,0,113,235,66,302,328,66,476,11,0,186,12,729,21134,St Kilda East,119,94,16,9,0.08
115,206061135,Armadale,1091,3,10,13,3,23,25,0,0,0,3,30,33,43,7,0,3,54,113,11,128,131,39,223,12,0,118,4,375,21135,Armadale,70,59,9,2,0.03
116,206061136,Prahran - Windsor,1072,3,9,16,3,26,23,0,5,5,3,55,53,96,13,0,3,116,197,10,221,230,76,413,12,0,125,6,577,21136,Prahran - Windsor,83,63,11,9,0.11
117,206061137,South Yarra - East,1061,0,11,14,3,25,25,0,3,3,3,60,65,82,7,0,0,94,111,13,129,130,54,268,20,0,176,16,509,21137,South Yarra - East,116,97,11,8,0.07
118,206061138,Toorak,1112,0,9,9,0,15,13,0,0,0,0,27,33,75,3,0,3,77,82,12,92,95,25,199,5,0,105,6,326,21138,Toorak,63,52,5,6,0.1
119,206071139,Abbotsford,1077,3,4,10,3,15,12,0,0,0,3,20,23,37,6,0,8,50,75,16,85,92,28,162,4,0,76,5,257,21139,Abbotsford,31,24,4,3,0.1
120,206071140,Carlton North - Princes Hill,1084,0,8,8,0,17,21,0,3,3,0,33,36,39,8,3,3,59,86,18,106,108,39,195,3,0,69,0,295,21140,Carlton North - Princes Hill,53,44,5,4,0.08
121,206071141,Collingwood,936,0,3,3,0,16,16,0,6,6,0,107,107,31,9,0,7,38,56,13,71,74,24,135,3,6,63,27,256,21141,Collingwood,72,54,6,12,0.17
122,206071142,Fitzroy,957,0,3,8,3,11,12,0,11,13,11,96,107,31,3,3,9,46,74,19,93,97,37,172,6,4,91,40,344,21142,Fitzroy,73,56,11,6,0.08
123,206071143,Fitzroy North,1064,0,9,6,0,22,23,0,0,0,3,51,54,60,12,3,8,87,170,21,191,193,36,305,3,3,79,4,422,21143,Fitzroy North,93,85,5,3,0.03
124,206071144,Richmond (Vic.),1036,3,11,12,5,23,25,3,4,4,5,149,156,188,21,7,6,223,274,36,311,316,114,651,19,9,230,50,1009,21144,Richmond (Vic.),182,133,21,28,0.15
125,206071145,Yarra - North,1100,0,3,3,0,12,12,0,0,0,3,20,24,60,9,0,4,73,152,16,174,174,54,301,8,0,90,3,413,21145,Yarra - North,96,84,9,3,0.03
126,207011146,Ashburton (Vic.),1081,0,0,0,0,6,3,0,0,0,0,25,26,63,7,0,0,81,153,15,170,169,54,298,10,0,129,8,455,21146,Ashburton (Vic.),120,108,9,3,0.03
127,207011147,Balwyn,1076,0,6,12,0,33,31,0,4,4,4,67,69,75,3,3,5,87,140,18,165,168,42,284,14,0,156,23,494,21147,Balwyn,156,129,18,9,0.06
128,207011148,Balwyn North,1083,3,10,12,4,15,21,0,4,4,3,48,48,94,20,3,8,130,211,27,244,253,47,415,12,3,206,25,703,21148,Balwyn North,246,193,34,19,0.08
129,207011149,Camberwell,1107,0,11,15,0,36,34,0,4,4,0,60,60,136,13,9,4,165,247,21,267,280,80,501,26,3,254,31,846,21149,Camberwell,244,204,31,9,0.04
